generation_index,ensemble_size,learning_rate,loss_test,average_active_hidden_node_num,diversity_coefficient_test,population_diversity_test,max_population_diversity_test,correlation_penalty_coefficient_test,subpopulation_num,average_niche_radius,average_sharing_factor,average_raw_fitness,average_adjusted_fitness
0,50,0.001,0.6022210121154785,0.0,0.25617486238479614,0.0,0.0,0.9,1,0.14322874018800097,3.412894206857538,-0.48805846750736237,-0.22761549853219398
10,50,0.001,0.34154021739959717,0.0,0.06645900756120682,0.062135201495847864,0.20865040723082337,0.6617634115533371,2,0.12804405776563502,6.650703654013373,-0.2902288046479225,-0.15514404741355992
20,50,0.001,0.38057470321655273,0.0,0.09141655266284943,0.04742161774402095,0.20865040723082337,0.7181777131484439,2,0.186176820620245,6.716845007049854,-0.37638730198144915,-0.32255080354264726
30,50,0.001,0.3751745820045471,0.0,0.1002732515335083,0.034727224465019316,0.20865040723082337,0.7668501061621158,2,0.19787925447205912,7.465212243425758,-0.39969932615756987,-0.305055390351716
40,50,0.001,0.3699105679988861,0.0,0.1012473776936531,0.07764516628020116,0.20865040723082337,0.6022956540149773,2,0.15223455410899087,7.534450523173916,-0.3372656711935997,-0.21860791017577924
50,50,0.001,0.33339667320251465,0.0,0.0515422485768795,0.05183340671554773,0.20865040723082337,0.7012621881606738,2,0.17087330277364302,7.004826891372983,-0.30590622156858444,-0.19838863359073935
60,50,0.001,0.3150741755962372,0.0,0.024824323132634163,0.006467230348102248,0.20865040723082337,0.8752035744998178,2,0.12384702701674544,7.661445091427054,-0.28836714386940004,-0.175472488345777
70,50,0.001,0.3848913609981537,0.0,0.10753423720598221,0.10587424543223563,0.20865040723082337,0.49406071874047086,2,0.19593788787905522,6.575192140093556,-0.4224717688560486,-0.3289910843428973
80,50,0.001,0.3954194486141205,0.0,0.13995222747325897,0.054555579842454814,0.20865040723082337,0.6908249283899965,2,0.15456056229406445,9.563513862030998,-0.3677611806988716,-0.24335178200951332
90,50,0.001,0.3616374135017395,0.0,0.10078815370798111,0.09199757495156871,0.20865040723082337,0.5472661571188032,2,0.17601422791727914,7.225909272303954,-0.3348389756679535,-21.04935579921347
100,50,0.001,0.31920430064201355,0.0,0.02729976363480091,0.025774876300805757,0.20865040723082337,0.8011748823579652,2,0.15545295490876768,6.018417855334514,-0.2638478237390518,-0.15370971009712617
110,50,0.001,0.35071808099746704,0.0,0.07870295643806458,0.07173036807150743,0.20865040723082337,0.624973963776052,2,0.13640933946591982,5.842978005976046,-0.3032030937075615,-0.17970442600102465
120,50,0.001,0.3375522494316101,0.0,0.08116878569126129,0.02846519499268118,0.2204057752951756,0.7966807654488743,2,0.2114099191551418,6.799932879616172,-0.30395109444856644,-0.29858114246655776
130,50,0.001,0.33365797996520996,0.0,0.05939518287777901,0.05481680023533625,0.2204057752951756,0.7010331619961463,2,0.22100690667110337,6.341184713386672,-0.3461733338236809,-0.3056771859119647
140,50,0.001,0.3282707929611206,0.0,0.04488993063569069,0.04826703716005702,0.2204057752951756,0.7248066336903703,2,0.1768472196557128,6.585237227494407,-0.30939477622509004,-0.3588585220585893
150,50,0.001,0.3420705497264862,0.0,0.12166553735733032,0.11578000263711068,0.2204057752951756,0.4797569188663816,2,0.1591475717503001,6.933342068513838,-0.30676321595907213,-0.19430954599316505
160,50,0.001,0.38922300934791565,0.0,0.3235955834388733,0.33611493940361503,0.33611493940361503,0.09999999999999998,2,0.2384768141973339,5.398754809769457,-0.40059757202863694,-0.3076332456269087
170,50,0.001,0.32030490040779114,0.0,0.05090295150876045,0.013128745499573456,0.33611493940361503,0.8687517715865449,2,0.22594641234980173,8.034432254973927,-0.3498541170358658,-0.6459161482504703
180,50,0.001,0.3414652347564697,0.0,0.07532260566949844,0.007504076259773429,0.33611493940361503,0.8821392615916728,2,0.18624432802040627,8.881329682780008,-0.3380073428153992,-0.2767007747562057
190,50,0.001,0.3350846469402313,0.0,0.0951060876250267,0.09855128834424132,0.33611493940361503,0.6654343159655906,2,0.1986195735477282,5.7500071053963815,-0.2930953067541122,-0.21276218438279101
200,50,0.001,0.3361523151397705,0.0,0.06927702575922012,0.012494827288962665,0.33611493940361503,0.8702605845223474,2,0.15857323564109993,8.133794907595677,-0.31985636442899706,-0.21548004656834432
210,50,0.001,0.30819395184516907,0.0,0.02808288112282753,0.02457222380428727,0.33611493940361503,0.8415147119663602,2,0.21110993702359407,6.008399584759073,-0.34599391102790833,-0.2525021723417674
220,50,0.001,0.3267781436443329,0.0,0.08239277452230453,0.02765721206271975,0.33611493940361503,0.8341720136289252,2,0.12796747971737085,9.950444778113376,-0.2867082417011261,-0.1568959846507763
230,50,0.001,0.3779307007789612,0.0,0.17541685700416565,0.048021518290414164,0.33611493940361503,0.7857021508758377,2,0.23605025083990458,7.314951714623085,-0.39096800357103345,-0.33281393464468173
240,50,0.001,0.29745185375213623,0.0,0.008157636970281601,0.010854043811489956,0.33611493940361503,0.8741658759214956,2,0.18510973138074885,6.811552190310732,-0.30582200139760973,-0.18056221944209738
250,50,0.001,0.3347557783126831,0.0,0.058894939720630646,0.028903883979745835,0.33611493940361503,0.8312047622018078,2,0.22876753347095863,7.716045274648298,-0.3649201402068138,-0.2608290676419546
260,50,0.001,0.30547264218330383,0.0,0.019868796691298485,0.00509489283788341,0.33611493940361503,0.8878734510357117,2,0.12191156018348681,10.737125632740051,-0.2639202880859375,-0.15173708659896717
270,50,0.001,0.3479998707771301,0.0,0.1050405502319336,0.0850782157523051,0.33611493940361503,0.6975020904378402,2,0.2696488706330911,4.84043414872549,-0.4066516771912575,-0.4016360117728518
280,50,0.001,0.30090561509132385,0.0,0.022640539333224297,0.03800024953417739,0.33611493940361503,0.8095541552503366,2,0.1948428087300696,5.279915055718691,-0.31991553157567976,-0.20845672953644406
290,50,0.001,0.31315943598747253,0.0,0.03360288217663765,0.048851555832112335,0.33611493940361503,0.7837265468323615,2,0.2261680518972351,7.038462677828344,-0.33888062834739685,-0.2729233601087124
300,50,0.001,0.3467632234096527,0.0,0.12170549482107162,0.12199570514805771,0.33611493940361503,0.6096333644329631,2,0.17251341394847616,6.835939981940111,-0.3302658271789551,-0.2486665554045902
310,50,0.001,0.3068313002586365,0.0,0.03623023256659508,0.006907990173622938,0.33611493940361503,0.8835580288436328,2,0.23426874991417035,5.504915005720623,-0.36204427629709246,-0.3330233283371055
320,50,0.001,0.329431414604187,0.0,0.15456759929656982,0.040961259749284606,0.33611493940361503,0.802506541787249,2,0.20499559035992887,7.614597170298039,-0.33370156049728394,-0.22232337111173942
330,50,0.001,0.3195852041244507,0.0,0.07914142310619354,0.01632875628614782,0.33611493940361503,0.8611353037383682,2,0.2017801887683278,7.125148246833166,-0.33631310433149336,-0.22422881635037534
340,50,0.001,0.3382783830165863,0.0,0.0923675000667572,0.13470934889762173,0.33611493940361503,0.5793731355431138,2,0.2564132340745566,4.866804806027486,-0.38478050589561463,-0.38228505739676344
350,50,0.001,0.2860206067562103,0.0,0.0,0.0,0.33611493940361503,0.9,2,0.14850928670926533,6.137810534947065,-0.24941969096660613,-0.12434749323362476
360,50,0.001,0.3072463870048523,0.0,0.035587988793849945,0.03996466849425369,0.33611493940361503,0.8048785666827785,2,0.175982041185588,6.67876389064695,-0.33259727478027346,-1.0242914409535901
370,50,0.001,0.32619810104370117,0.0,0.05861477926373482,0.09533294267418328,0.33611493940361503,0.6730944233699647,2,0.2045246655981153,7.429849863854689,-0.2948444792628288,-0.32422483252263157
380,50,0.001,0.3086601495742798,0.0,0.03619975969195366,0.06579547410887568,0.33611493940361503,0.7433976800302426,2,0.19273802465160125,8.528818935250056,-0.32827017426490784,-0.21516314717753002
390,50,0.001,0.2998209297657013,0.0,0.0236017145216465,0.046019757073397505,0.33611493940361503,0.7904666191748512,2,0.23067769572992652,6.430111513840586,-0.32753989338874817,-0.26710922258701364
400,50,0.001,0.3299413323402405,0.0,0.06770153343677521,0.08551486512034492,0.33611493940361503,0.6964628046058814,2,0.2365789814479082,7.910170651171196,-0.32187694281339646,-0.2321284349953634
410,50,0.001,0.31238290667533875,0.0,0.08829734474420547,0.014156932547078456,0.33611493940361503,0.866304544339034,2,0.14844464604595944,9.190234911664321,-0.30628888964653017,-0.17922439420343614
420,50,0.001,0.2907981872558594,0.0,0.0029451041482388973,0.010746687310350111,0.33611493940361503,0.8744213992286841,2,0.1816348566243316,6.627827323657035,-0.26220292448997495,-0.18620777348548512
430,50,0.001,0.3161933422088623,0.0,0.025437159463763237,0.009217511966120744,0.33611493940361503,0.8780610478487488,2,0.20226682252320308,7.393166821216451,-0.3382492679357529,-0.2283677825399415
440,50,0.001,0.31042027473449707,0.0,0.03926444426178932,0.03586950720552778,0.33611493940361503,0.8146256164175916,2,0.187604100407396,6.645466340461749,-0.3069115436077118,-0.19166241940003595
450,50,0.001,0.32105889916419983,0.0,0.055997639894485474,0.09181457335542238,0.33611493940361503,0.681468628515392,2,0.17936584513323184,8.977882985144642,-0.3129820737242699,-0.24840516226939383
460,50,0.001,0.28835412859916687,0.0,0.0010570079321041703,0.0045487454471177455,0.33611493940361503,0.8891733572921482,2,0.181742871278744,8.19953970414062,-0.2922154533863068,-0.17919999942892006
470,50,0.001,0.3292984366416931,0.0,0.06100999191403389,0.05772679961638277,0.33611493940361503,0.762602240248386,2,0.1761602690908277,8.412672478639836,-0.3129969251155853,-0.25699398258968753
480,50,0.001,0.2898978292942047,0.0,0.001588092534802854,0.00711829203092972,0.33611493940361503,0.8830574813638215,2,0.17239580784319766,7.138412885428318,-0.3115482959151268,-0.19861567360506452
490,50,0.001,0.3093508183956146,0.0,0.02349337376654148,0.03688223078109854,0.33611493940361503,0.8122151943700201,2,0.15168194059816617,6.812045753407516,-0.2694843545556068,-0.14533860191350711
500,50,0.001,0.29226917028427124,0.0,0.007139199413359165,0.020406226898654074,0.33611493940361503,0.8514303602574481,2,0.24097030157890606,6.499486316950551,-0.3139820867776871,-0.3084187159184813
0,100,0.001,0.6338820457458496,0.0,0.41078153252601624,0.0,0.0,0.9,1,0.14863549831778497,7.747036382644691,-0.5179396517574787,-0.2265061311562982
10,100,0.001,0.32283270359039307,0.0,0.037135474383831024,0.019073114257548388,0.09941966560119395,0.7465244143221553,2,0.15706473137454616,17.205377085706992,-0.3202072986960411,-0.17172910165695796
20,100,0.001,0.35360899567604065,0.0,0.0870499536395073,0.04927459759273207,0.12876101059808573,0.5938539244831642,2,0.21380414888931065,13.739324699647284,-0.3733219653367996,-0.23663170664193037
30,100,0.001,0.3736283779144287,0.0,0.11941776424646378,0.06815577066207924,0.12876101059808573,0.4765440463972717,2,0.17800253827676085,14.855995656921175,-0.3544860914349556,-0.20945463896010025
40,100,0.001,0.358412504196167,0.0,0.09131477028131485,0.06911398253134009,0.12876101059808573,0.47059061770136434,2,0.15440626822321105,15.62236619285964,-0.3408277361094952,-0.20913285000575282
50,100,0.001,0.3419092297554016,0.0,0.061562005430459976,0.036136102530305955,0.12887717466536627,0.675686562812169,2,0.15807725677768408,13.338043473826236,-0.3135174585878849,-0.32226660899995246
60,100,0.001,0.35308724641799927,0.0,0.0665646567940712,0.048268207363999435,0.12887717466536627,0.6003769985533629,2,0.1653711634679238,16.355455750996374,-0.3357487095892429,-0.20290660086023973
70,100,0.001,0.3859928250312805,0.0,0.10434304177761078,0.08138166558152785,0.12887717466536627,0.3948265072207676,2,0.16059361837598346,12.155000896311737,-0.34905208855867387,-0.17940568360162146
80,100,0.001,0.34224775433540344,0.0,0.07199864089488983,0.06311435719916868,0.12887717466536627,0.508220106543787,2,0.18316634787611566,12.687874023603912,-0.35096985086798665,-0.21112400506166884
90,100,0.001,0.3463658094406128,0.0,0.05707522854208946,0.05068576652848989,0.12887717466536627,0.5853700949910045,2,0.177787126894811,15.928634998028526,-0.3390824343264103,-0.2944919307449873
100,100,0.001,0.3810949921607971,0.0,0.09609317779541016,0.08797397625648216,0.12887717466536627,0.35390499762329886,2,0.18799510505026143,12.284828130986448,-0.40069384455680845,-0.23941000654915306
110,100,0.001,0.37757566571235657,0.0,0.11271380633115768,0.06035823804705229,0.12887717466536627,0.5253286079321686,2,0.16659888878636833,14.144720125451986,-0.35322916477918626,-0.1989598218540158
120,100,0.001,0.36691150069236755,0.0,0.11715452373027802,0.029564355146539205,0.1446054865302753,0.7364413087999979,2,0.2096523185848543,12.909629559557407,-0.3658997365832329,-0.29359037820512507
130,100,0.001,0.35802873969078064,0.0,0.1216297447681427,0.050620258657386154,0.1446054865302753,0.6199538696795543,2,0.21370340964478138,14.279095487674429,-0.3671590082347393,-0.26899325368234406
140,100,0.001,0.32642921805381775,0.0,0.06337554007768631,0.007872457403453874,0.1446054865302753,0.8564472547074172,2,0.19811961831186511,19.21946118587048,-0.32246686697006227,-0.19737398223637445
150,100,0.001,0.37125030159950256,0.0,0.14376933872699738,0.09934037113209877,0.1446054865302753,0.3504199058239722,2,0.17697534268676107,15.132419414633711,-0.3458809494972229,-0.3611228701301548
160,100,0.001,0.3815470039844513,0.0,0.11899401992559433,0.0947760837527881,0.1446054865302753,0.3756708834394311,2,0.18262270696209174,14.085533594943545,-0.35763458758592603,-0.22255652602880488
170,100,0.001,0.351231187582016,0.0,0.059951137751340866,0.03954107633605107,0.1446054865302753,0.6812471585425077,2,0.1841173881241373,13.499934172444753,-0.3477592895925045,-0.25030429024731726
180,100,0.001,0.36198511719703674,0.0,0.16948392987251282,0.10788871549935233,0.15920773560729926,0.3578719930269221,2,0.18311838764720614,16.167409235888577,-0.3512935866415501,-0.3041955471899901
190,100,0.001,0.37160325050354004,0.0,0.06425558775663376,0.04229149766975838,0.15920773560729926,0.687490237162474,2,0.1735337932348104,13.630411479162571,-0.35610601454973223,-0.2483367541504501
200,100,0.001,0.3922494351863861,0.0,0.07704684138298035,0.04292548749402412,0.15920773560729926,0.6843045134444782,2,0.23271671264390648,12.090490301717745,-0.40856182247400286,-0.46005262557231796
210,100,0.001,0.3938486874103546,0.0,0.0942724347114563,0.07931729887665859,0.15920773560729926,0.5014399748901542,2,0.18925684856817093,13.214640085106689,-0.41013494223356245,-0.5194208208607038
220,100,0.001,0.3442123234272003,0.0,0.05864838883280754,0.044046635032943184,0.15920773560729926,0.6786708799547865,2,0.1987290171843913,16.92463875870663,-0.35847352206707,-0.6995437293879085
230,100,0.001,0.3811197578907013,0.0,0.1201535314321518,0.09022251176123566,0.15920773560729926,0.4466425727765997,2,0.15269322632139412,17.111205917790492,-0.3581300047039986,-0.21649579547869383
240,100,0.001,0.3784320652484894,0.0,0.1265348494052887,0.09937707597738508,0.15920773560729926,0.400641972711638,2,0.19938072555395311,14.006721027348256,-0.3508901037275791,-0.21209613104484398
250,100,0.001,0.4006935656070709,0.0,0.1364082545042038,0.09956169097520214,0.15920773560729926,0.3997143042306419,2,0.20322521365073867,14.606271206149126,-0.38923050224781036,-0.24617466906692215
260,100,0.001,0.3931266963481903,0.0,0.10212898999452591,0.07377966289181637,0.15920773560729926,0.5292659393194271,2,0.20116133542364859,13.670736127030953,-0.4067873565852642,-0.2373426616688465
270,100,0.001,0.405268132686615,0.0,0.17232374846935272,0.06406111839314554,0.15920773560729926,0.5781004734535851,2,0.1811744029662875,12.397235061282371,-0.41077413856983186,-0.24409613213567347
280,100,0.001,0.3768974244594574,0.0,0.11111311614513397,0.04052939688081288,0.15920773560729926,0.6963445847592108,2,0.21512052436669551,14.650522028002497,-0.429002091884613,-0.2912852612999565
290,100,0.001,0.3535166084766388,0.0,0.0890640839934349,0.04253153687571668,0.15920773560729926,0.6862840686051854,2,0.16595989591525107,13.197115553020655,-0.3280878366529942,-0.1674031360931056
300,100,0.001,0.360676646232605,0.0,0.0969611257314682,0.031608311526497936,0.15920773560729926,0.7411719812184866,2,0.1657943946146922,14.866531503146176,-0.356658428311348,-0.25585267560609404
310,100,0.001,0.3282296359539032,0.0,0.02827705629169941,0.02292339458826203,0.163105183887451,0.7875650961329098,2,0.17308448076260563,12.561967389125488,-0.315067950040102,-0.17594044846304563
320,100,0.001,0.36468663811683655,0.0,0.08096008747816086,0.0643588481819607,0.163105183887451,0.5843320529830819,2,0.21776383596530172,11.751147109847345,-0.40736358880996704,-0.36821566569865716
330,100,0.001,0.33172157406806946,0.0,0.038050223141908646,0.02477598788123906,0.163105183887451,0.7784784773078189,2,0.15327653925070714,14.550092606876918,-0.3007290695607662,-0.1360564510212313
340,100,0.001,0.33035996556282043,0.0,0.029114818200469017,0.02903928749459965,0.163105183887451,0.7575678010840519,2,0.1561151815778309,14.002855623387326,-0.32358841195702553,-0.15546110243076822
