generation_index,ensemble_size,learning_rate,loss_test,average_active_hidden_node_num,diversity_coefficient_test,population_diversity_test,max_population_diversity_test,correlation_penalty_coefficient_test,subpopulation_num,average_niche_radius,average_sharing_factor,average_raw_fitness,average_adjusted_fitness
0,50,0.001,0.9477165937423706,0.0,0.66050124168396,0.0,0.0,0.9,1,0.47279825221435556,0.0,-2.7084868121147156,-2.7084868121147156
10,50,0.001,0.36592647433280945,0.02,0.08547252416610718,0.02534306271987386,4.6772601729966885,0.895665314858269,3,0.27475930426052075,6.050751707311711,-0.38492492377758025,-0.47319431800878387
20,50,0.001,0.3819868564605713,0.0,0.1279078871011734,0.26001710669796774,4.6772601729966885,0.8555265951294941,2,0.3235390779818697,4.922779785115819,-0.4034489041566849,-0.3299747049054708
30,50,0.001,0.35076069831848145,0.0,0.04279503598809242,0.0275546711189039,4.6772601729966885,0.8952870406862572,2,0.16150064962376537,6.3777195305999985,-0.32443199068307876,-0.16872684019266448
40,50,0.001,0.35154518485069275,0.0,0.07180210202932358,0.07373501265451914,4.6772601729966885,0.8873883410497085,2,0.21533661820024097,6.000076567630182,-0.3640460979938507,-0.24501082025535031
50,50,0.001,0.4308758080005646,0.0,0.1326158046722412,0.023690038088788362,4.6772601729966885,0.8959480486930261,2,0.17987247232842457,7.721554197071396,-0.4051776391267776,-0.27990422107324425
60,50,0.001,0.5160043239593506,0.0,0.13433443009853363,0.10893922089912246,4.6772601729966885,0.8813670025835957,2,0.18808393619009442,6.810841480957913,-0.4934850722551346,-0.3406354903911122
70,50,0.001,0.394487202167511,0.0,0.07383156567811966,0.04529301462799216,4.6772601729966885,0.8922530690271226,2,0.17733531544456477,9.48651343463768,-0.3833397078514099,-0.429155671940893
80,50,0.001,0.5830275416374207,0.0,0.24169017374515533,0.19900357363684296,4.6772601729966885,0.8659623683479053,2,0.21236527403186733,5.862118472873578,-0.568539448082447,-0.3490075375696631
90,50,0.001,0.49960094690322876,0.0,0.2266046702861786,0.12301041323708707,4.6772601729966885,0.878960261574113,2,0.21639630980548816,6.276242141907761,-0.4999425420165062,-0.37662627911383156
100,50,0.001,0.458832710981369,0.0,0.08052115142345428,0.05619796030718787,4.6772601729966885,0.8903878838074244,2,0.15345692053415308,7.041344197701236,-0.4233495044708252,-0.2352380669523616
110,50,0.001,0.4499592185020447,0.0,0.15928637981414795,0.08854099000862187,4.6772601729966885,0.8848559221879857,2,0.17630439174700593,6.160080806744568,-0.42280500680208205,-0.23256512782109073
120,50,0.001,0.4609329402446747,0.0,0.08170837163925171,0.05154316642280495,4.6772601729966885,0.8911840411665992,2,0.19515646377952556,7.203034739752946,-0.4453163033723831,-0.5601497785375653
130,50,0.001,0.6168466210365295,0.0,0.19701267778873444,0.09197303536210095,4.6772601729966885,0.8842689041087617,2,0.21754860465995854,7.029585216213788,-0.6227023135870695,-0.405901179838101
140,50,0.001,0.6103857159614563,0.0,0.29050007462501526,0.19770828205875102,4.6772601729966885,0.866183915412671,2,0.17365116469868067,5.832294406239479,-0.5342474141716957,-0.8099701759042982
150,50,0.001,0.7782015204429626,0.0,0.39616286754608154,0.5595416406541982,4.6772601729966885,0.8042958279063268,2,0.22089762663193196,5.078800295276051,-0.7352896980941296,-0.4460143501182715
160,50,0.001,0.4347324073314667,0.0,0.11838159710168839,0.17462316690241508,6.045183340622988,0.8768909352040372,2,0.16865226147706716,5.630768776628954,-0.40216290205717087,-0.23560161874564098
170,50,0.001,0.43285560607910156,0.0,0.13747704029083252,0.12765232839663967,6.045183340622988,0.8831069039658296,2,0.25773461897672634,5.299833143796991,-0.4931651848554611,-0.4759183944347041
180,50,0.001,0.4014491140842438,0.0,0.11688703298568726,0.0524294735305658,6.045183340622988,0.8930616531441493,2,0.1929455557851848,6.456558005785512,-0.38082809627056124,-0.26065989024708147
190,50,0.001,0.40515419840812683,0.0,0.08641038835048676,0.04798280392193933,6.045183340622988,0.8936501110099342,2,0.19585970239575112,7.235490350218772,-0.3853411489725113,-0.2326460827902903
200,50,0.001,0.3507300019264221,0.0,0.05693572759628296,0.02838210623010781,6.045183340622988,0.8962440039110963,2,0.22442753303255436,7.873540558923881,-0.376751561164856,-0.27420950206880684
210,50,0.001,0.39256390929222107,0.0,0.14260099828243256,0.06360269302036116,6.045183340622988,0.891583025435413,2,0.21584280816894152,6.05400677601111,-0.3625954526662827,-0.22540765340433913
220,50,0.001,0.3764124810695648,0.0,0.056135110557079315,0.05859894126754185,6.045183340622988,0.8922452057493425,2,0.14750120193838737,7.072777021803021,-0.31707383900880814,-0.15614866573349162
230,50,0.001,0.35963383316993713,0.0,0.0769902840256691,0.06768268705357752,6.045183340622988,0.89104309222865,2,0.1692052891639429,5.31265448414378,-0.3293457913398743,-0.3125065558210999
240,50,0.001,0.4342420995235443,0.0,0.2140301764011383,0.1744256817241366,6.045183340622988,0.876917069753433,2,0.20909161343808777,7.337687892607043,-0.46398887008428574,-0.39074523603163847
250,50,0.001,0.39106544852256775,0.0,0.10321813821792603,0.042470185900102084,6.045183340622988,0.894379633039123,2,0.1799921000855421,11.178169912443666,-0.40115741491317747,-0.3404672454670001
260,50,0.001,0.34953606128692627,0.0,0.06432697921991348,0.034149484869551085,6.045183340622988,0.8954807676862245,2,0.1485181125865388,8.66537724030379,-0.34166864931583407,-0.217568499906053
270,50,0.001,0.3747214376926422,0.0,0.08485877513885498,0.04580614164853676,6.045183340622988,0.8939381634511265,2,0.19234790010426558,8.422939839119621,-0.3431431731581688,-0.22276808189707112
280,50,0.001,0.3686641752719879,0.0,0.09959753602743149,0.04076899284874512,6.045183340622988,0.8946047634221735,2,0.23276528483393424,7.103399737878617,-0.3484292370080948,-0.28203377627874715
290,50,0.001,0.4568317234516144,0.0,0.13588719069957733,0.05816328993113788,6.045183340622988,0.8923028584373563,2,0.1767544243522212,7.875592171909817,-0.4710110193490982,-0.2970564078874168
300,50,0.001,0.35205793380737305,0.0,0.06553909182548523,0.004883477462073556,6.045183340622988,0.8993537363964785,2,0.1756666098597621,11.122248886217951,-0.37125738233327865,-0.2489463306695465
310,50,0.001,0.3460488021373749,0.0,0.08505037426948547,0.06339143628684163,6.045183340622988,0.8916109824678623,2,0.15822104460033776,8.24047101164647,-0.3031981363892555,-0.1905251932125014
320,50,0.001,0.3963504731655121,0.0,0.06532306224107742,0.036298622353028075,6.045183340622988,0.8951963577866557,2,0.18687681098096387,7.966776582903398,-0.39873976081609724,-0.234718369954146
330,50,0.001,0.4247446656227112,0.0,0.13123169541358948,0.048946901861902994,6.045183340622988,0.8935225254085533,2,0.1858209194373291,6.637477007355992,-0.39147308468818665,-0.2407086711594496
340,50,0.001,0.325837641954422,0.0,0.03212347626686096,0.021242938817213338,6.045183340622988,0.8971887782228919,2,0.16808377138837086,12.47583731165279,-0.31618257582187653,-0.20480221840454924
350,50,0.001,0.38778358697891235,0.0,0.08756902813911438,0.03902949348184056,6.045183340622988,0.8948349631390576,2,0.1531182220023198,7.2079960998014965,-0.34488707572221755,-0.2395214406463117
360,50,0.001,0.4668167233467102,0.0,0.1540982872247696,0.13999285662958905,6.045183340622988,0.8814737983956448,2,0.17966151698523677,5.923630080367804,-0.4425882789492607,-0.25106035049990527
370,50,0.001,0.4108828604221344,0.0,0.09743298590183258,0.05703036087050895,6.045183340622988,0.8924527866028783,2,0.17890013903854748,7.574216634248127,-0.40148804962635043,-0.8712166873160779
380,50,0.001,0.5303166508674622,0.0,0.20565077662467957,0.07534477243971499,6.045183340622988,0.8900291166445318,2,0.2241595415640606,7.275310297847433,-0.5509871453046798,-0.3808208082350085
390,50,0.001,0.3981289863586426,0.0,0.07812854647636414,0.041031918449608476,6.045183340622988,0.8945699686990297,2,0.15533552609802806,7.071987026587602,-0.3608225750923157,-0.1889061266085239
400,50,0.001,0.5310225486755371,0.0,0.2047056257724762,0.1453876610578141,6.045183340622988,0.8807598674361686,2,0.18433551594735434,6.108202511487949,-0.4962595242261887,-0.3414877471619556
0,100,0.001,1.4193917512893677,0.0,1.1833380460739136,0.0,0.0,0.9,1,0.45968413584788825,0.0,-3.224225152730942,-3.224225152730942
10,100,0.001,0.29002949595451355,0.02,0.006775969173759222,0.0,2.818143705337608,0.9,5,0.40630204220906163,6.141524407995587,-0.4464734461903572,-1.1040246218281882
20,100,0.001,0.2946818470954895,0.0,0.01847250759601593,0.038823099837279405,2.818143705337608,0.8889791000327634,2,0.305832542858151,11.13916803412545,-0.320625915825367,-1.3298139875470516
30,100,0.001,0.6550117135047913,0.2,0.6229825019836426,13.03304673700296,15.542205048744872,0.2291532728527238,6,0.5144233333539658,4.283670355519614,-0.8203283427655697,-1.8390839366461638
40,100,0.001,0.4329341948032379,0.04,0.20030108094215393,1.8841094559631317,35.16792894980071,0.8571402806539438,3,0.3989851243400152,8.385655418275126,-0.44527633756399154,-0.2644227670816574
50,100,0.001,0.3765868842601776,0.05,0.13169990479946136,0.18762319132408922,35.16792894980071,0.8957319478985094,3,0.3255763074474485,8.400702504892855,-0.37602084144949915,-0.24847542208817416
60,100,0.001,0.36471354961395264,0.04,0.15562409162521362,0.10489837739874124,35.16792894980071,0.8976137718533617,4,0.3295051553477271,7.901170374145395,-0.40962973207235337,-0.2970433579570232
70,100,0.001,0.3612831234931946,0.02,0.13407906889915466,0.1340498866008494,35.16792894980071,0.8969506333616132,3,0.2914165779070573,7.681259546779248,-0.34527446925640104,-0.24910952623720578
80,100,0.001,0.3199557065963745,0.0,0.08328216522932053,0.03995430233615268,35.16792894980071,0.8990911195847061,2,0.2929785291434804,9.127718057444635,-0.33412026762962344,-0.29583070986576354
90,100,0.001,0.3186637759208679,0.0,0.03180573135614395,0.048260880094934094,35.16792894980071,0.8989021615651278,2,0.2261951575231015,9.080423402103213,-0.28925149485468865,-0.13536386921183186
100,100,0.001,0.2974027097225189,0.0,0.018802441656589508,0.015382804382186472,35.16792894980071,0.8996500719868004,2,0.24537729843810413,10.482114632571891,-0.2875786323845386,-0.17615691256416866
110,100,0.001,0.319280207157135,0.0,0.043136078864336014,0.06467825364817925,35.16792894980071,0.8985286991738296,2,0.27278349793472656,10.167652046728428,-0.2828294976055622,-0.32125648590712913
120,100,0.001,0.36552879214286804,0.0,0.10245940834283829,0.1374604801811901,35.16792894980071,0.8968730491834784,2,0.2703097739806174,9.25568580526866,-0.351230346262455,-0.19983060921349266
130,100,0.001,0.32596951723098755,0.0,0.05365973711013794,0.05348704699635997,35.16792894980071,0.8987832767275501,2,0.21290097857879237,11.279035363199855,-0.27475193962454797,-0.11368680005846121
140,100,0.001,0.3281695544719696,0.0,0.09466800838708878,0.09571998674391137,35.16792894980071,0.8978225618715155,2,0.2720684689438605,8.75282342223087,-0.3623658484220505,-1.9092876976328659
150,100,0.001,0.29019007086753845,0.0,0.002383773447945714,0.003630499884450751,35.16792894980071,0.8999174133935579,2,0.22611180276089796,9.698106925194605,-0.29613659977912904,-0.47993869165903036
160,100,0.001,0.32578569650650024,0.0,0.08239854872226715,0.056346255079827136,35.16792894980071,0.8987182354659495,2,0.2180431380134535,13.4389413025439,-0.35251626297831534,-0.35629989295065256
170,100,0.001,0.3095570504665375,0.0,0.04252374544739723,0.04530952764081693,35.16792894980071,0.8989692989267468,2,0.23678878144620386,12.703820315158307,-0.31099709048867225,-0.29230989194574525
180,100,0.001,0.3023781478404999,0.0,0.02148701623082161,0.022118572363249617,35.16792894980071,0.8994968467459128,2,0.1899840317398568,13.796127117082763,-0.29886692851781843,-0.19086954716200524
190,100,0.001,0.2994236946105957,0.0,0.017503565177321434,0.034611459202856056,35.16792894980071,0.899212658573048,2,0.22835127468959446,13.04737601598439,-0.3270830677449703,-0.25672840507947364
200,100,0.001,0.30612701177597046,0.0,0.037383902817964554,0.044712237162509334,35.16792894980071,0.8989828860897363,2,0.20002869225095332,14.95537159703017,-0.29692453995347023,-0.17443072891175018
210,100,0.001,0.34283870458602905,0.0,0.12036281824111938,0.09007889565635684,35.16792894980071,0.8979508854039159,2,0.20172767302210215,13.680555995816805,-0.3039149789512157,-0.18060303268890882
220,100,0.001,0.30562624335289,0.0,0.03600233048200607,0.010808337268529403,35.16792894980071,0.8997541319584907,2,0.23469057401229756,13.962794536154504,-0.3169616477191448,-0.21765277198525795
230,100,0.001,0.2970154285430908,0.0,0.010125527158379555,0.01834510014917049,35.16792894980071,0.8995826856867152,2,0.14807209408951766,15.433077657586296,-0.2566279229521751,-0.13230791930485566
240,100,0.001,0.29482004046440125,0.0,0.01432469766587019,0.0030038864466313416,35.16792894980071,0.8999316675951906,2,0.20731516506748784,15.095955038217133,-0.2997007851302624,-0.19554743862873183
250,100,0.001,0.3467150926589966,0.0,0.13633975386619568,0.07567262073580663,35.16792894980071,0.8982785993262481,2,0.2193167572038676,14.060613092736492,-0.356265027821064,-0.35133138349421794
260,100,0.001,0.3542332649230957,0.0,0.19741080701351166,0.12013093669065385,35.16792894980071,0.8972672616152716,2,0.22296172939624762,15.135737174123637,-0.3487278746068478,-0.238844082407026
270,100,0.001,0.2995081841945648,0.0,0.02417263761162758,0.006509172656324862,35.16792894980071,0.899851929349252,2,0.20050154561681371,15.312031807652701,-0.2942164047062397,-0.7926693317434982
280,100,0.001,0.300311803817749,0.0,0.01795511320233345,0.01587020364411918,35.16792894980071,0.8996389846290518,2,0.1785720218065174,18.378510353105142,-0.27566092208027837,-0.160565649082899
290,100,0.001,0.3119962811470032,0.0,0.04327913746237755,0.054122007120957896,35.16792894980071,0.8987688326554979,2,0.17920739008179032,15.709767153936486,-0.2847210597991943,-0.1433153009930891
300,100,0.001,0.8747662305831909,0.1,0.8295783400535583,4.017431886522721,35.16792894980071,0.8086114649001419,5,0.535964109500408,3.2170095312052354,-0.9365086282044649,3.0178042899148765
