correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.0,2,400,0.001,[2],0.10504343453794718,0.003180974628776312
0.0,2,400,0.001,"[2, 2, 2]",0.23371268063783646,0.005566578824073076
0.0,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18822831194847822,0.006117032375186682
0.0,2,400,0.001,[6],0.06800559815019369,0.0025239360984414816
0.0,2,400,0.001,[12],0.04072280926629901,0.0011185772018507123
0.0,3,400,0.001,[2],0.16720630042254925,0.006602746434509754
0.0,3,400,0.001,"[2, 2, 2]",0.2547842152416706,3.7440993310156045e-06
0.0,3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18118241243064404,6.856118943687761e-07
0.0,3,400,0.001,[6],0.11180735006928444,0.0011250106617808342
0.0,3,400,0.001,[12],0.07038259226828814,0.003366518532857299
0.0,4,400,0.001,[2],0.14860938489437103,0.003928108140826225
0.0,4,400,0.001,"[2, 2, 2]",0.22467497922480106,0.005778872407972813
0.0,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22192975878715515,0.0023098811507225037
0.0,4,400,0.001,[6],0.08793044649064541,0.002192498417571187
0.0,4,400,0.001,[12],0.04270060220733285,0.0025049021933227777
0.0,5,400,0.001,[2],0.11576651968061924,0.004219272639602423
0.0,5,400,0.001,"[2, 2, 2]",0.19293468073010445,0.014229681342840195
0.0,5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23691342398524284,4.241625788381498e-07
0.0,5,400,0.001,[6],0.06733851786702871,0.0030643341597169638
0.0,5,400,0.001,[12],0.06218099407851696,0.001846006140112877
0.0,6,400,0.001,[2],0.18532010540366173,0.00663498742505908
0.0,6,400,0.001,"[2, 2, 2]",0.20084239169955254,0.009881931357085705
0.0,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.25284360349178314,0.00532922800630331
0.0,6,400,0.001,[6],0.07054173573851585,0.0026753104757517576
0.0,6,400,0.001,[12],0.041089358972385526,0.0018313585314899683
0.0,7,400,0.001,[2],0.1548739541321993,0.007034348323941231
