correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.0,2,400,0.001,[2],0.6910396814346313,0.006137118209153414
0.0,2,400,0.001,"[2, 2, 2]",0.3777170330286026,0.0032954092603176832
0.0,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3065028600394726,1.2198614058434032e-05
0.0,2,400,0.001,[6],0.3706090673804283,0.0021976400166749954
0.0,2,400,0.001,[12],0.20033431984484196,0.0031727515161037445
0.0,3,400,0.001,[2],0.18730273097753525,0.006975540891289711
0.0,3,400,0.001,"[2, 2, 2]",0.5469329953193665,0.008030137978494167
0.0,3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.27910082414746284,0.0018878016853705049
0.0,3,400,0.001,[6],0.37716519087553024,0.002638614270836115
0.0,3,400,0.001,[12],0.211410291492939,0.002117991680279374
0.0,4,400,0.001,[2],0.5067042410373688,0.006165346596390009
0.0,4,400,0.001,"[2, 2, 2]",0.1429863590747118,0.010268734768033028
0.0,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3082910478115082,0.004412288777530193
0.0,4,400,0.001,[6],0.36438047140836716,0.003299206728115678
0.0,4,400,0.001,[12],0.1633130982518196,0.0012143257772549987
0.0,5,400,0.001,[2],0.25331312976777554,0.0074121118523180485
0.0,5,400,0.001,"[2, 2, 2]",0.27835237979888916,0.005499000195413828
0.0,5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.25234660133719444,0.008199204690754414
0.0,5,400,0.001,[6],0.11722950637340546,0.0033456652890890837
0.0,5,400,0.001,[12],1.1165238320827484,0.002714654663577676
0.0,6,400,0.001,[2],0.20153851434588432,0.007905568927526474
0.0,6,400,0.001,"[2, 2, 2]",0.41791556775569916,0.013490244746208191
0.0,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3287634365260601,0.004296731203794479
0.0,6,400,0.001,[6],0.3889528214931488,0.003403683425858617
0.0,6,400,0.001,[12],0.07470663450658321,0.0016289505874738097
0.0,7,400,0.001,[2],0.43268799781799316,0.007523014675825834
0.0,7,400,0.001,"[2, 2, 2]",0.5714723616838455,0.007834995165467262
0.0,7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.31575488671660423,0.0020666944328695536
0.0,7,400,0.001,[6],0.32161058485507965,0.00197162595577538
0.0,7,400,0.001,[12],0.235933730378747,0.002036263234913349
0.0,8,400,0.001,[2],0.430033378303051,0.00802312046289444
0.0,8,400,0.001,"[2, 2, 2]",0.31323129311203957,0.014945724047720432
0.0,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.37104927748441696,0.0057840957306325436
0.0,8,400,0.001,[6],0.13226777501404285,0.004624651744961739
0.0,8,400,0.001,[12],0.37325121462345123,0.0014435689663514495
0.0,9,400,0.001,[2],0.5026340037584305,0.005147030111402273
0.0,9,400,0.001,"[2, 2, 2]",0.3727075159549713,0.02082858420908451
0.0,9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21008428372442722,0.0007925669196993113
0.0,9,400,0.001,[6],0.17463596910238266,0.0027005053125321865
0.0,9,400,0.001,[12],0.4274314343929291,0.001905590295791626
0.0,10,400,0.001,[2],1.1747631132602692,0.0045214248821139336
0.0,10,400,0.001,"[2, 2, 2]",0.5774400904774666,0.0068031600676476955
0.0,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1977973710745573,2.2887759314471623e-06
0.0,10,400,0.001,[6],0.3251417428255081,0.002034230390563607
0.0,10,400,0.001,[12],0.1436523050069809,0.0018502343446016312
0.0,11,400,0.001,[2],0.2282264456152916,0.00694311736151576
0.0,11,400,0.001,"[2, 2, 2]",0.18139456026256084,0.00874517485499382
0.0,11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.4993504136800766,0.006400172598659992
0.0,11,400,0.001,[6],0.6819905191659927,0.0028483921196311712
0.0,11,400,0.001,[12],0.7481291145086288,0.002209126017987728
0.0,12,400,0.001,[2],0.18400340154767036,0.006747573148459196
0.0,12,400,0.001,"[2, 2, 2]",0.3034391738474369,0.006100623402744532
0.0,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.28192486241459846,0.017332466319203377
0.0,12,400,0.001,[6],0.296929445117712,0.004028188996016979
0.0,12,400,0.001,[12],0.13459079712629318,0.0016432524425908923
0.0,13,400,0.001,[2],0.7761162221431732,0.007858001627027988
0.0,13,400,0.001,"[2, 2, 2]",0.2737764250487089,0.011698137037456036
0.0,13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.46764468401670456,0.005504016764461994
0.0,13,400,0.001,[6],0.22077790275216103,0.0028792342636734247
0.0,13,400,0.001,[12],0.5238914340734482,0.0018813398201018572
0.0,14,400,0.001,[2],0.07653959468007088,0.0070191556587815285
0.0,14,400,0.001,"[2, 2, 2]",0.5238875150680542,0.0061870357021689415
0.0,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3490612767636776,0.01312926597893238
0.0,14,400,0.001,[6],0.06325555732473731,0.0049511706456542015
0.0,14,400,0.001,[12],0.3155723810195923,0.0015844954177737236
0.0,15,400,0.001,[2],0.1505265235900879,0.006338938605040312
0.0,15,400,0.001,"[2, 2, 2]",0.5460531488060951,0.011083200573921204
0.0,15,400,0.001,"[2, 2, 2, 2, 2, 2]",0.47597314417362213,0.006234781816601753
0.0,15,400,0.001,[6],0.1471345592290163,0.0031448686495423317
0.0,15,400,0.001,[12],0.4178370423614979,0.0024826955050230026
0.0,16,400,0.001,[2],0.30268410220742226,0.004999896045774221
0.0,16,400,0.001,"[2, 2, 2]",0.19256093725562096,0.009228017181158066
0.0,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.25843675062060356,0.004572912584990263
0.0,16,400,0.001,[6],0.10189325734972954,0.005345163866877556
0.0,16,400,0.001,[12],0.23917881399393082,0.0065271914936602116
0.1,2,400,0.001,[2],0.4393403008580208,0.0066986726596951485
0.1,2,400,0.001,"[2, 2, 2]",0.4702966585755348,0.0062042283825576305
0.1,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.7574358731508255,0.11281085759401321
