ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
2,200,0.001,[2],0.33448223024606705,0.0028825588524341583,0.12684452533721924
2,200,0.001,"[2, 2, 2]",1.0876905918121338,0.008487239480018616,0.14690956473350525
2,200,0.001,"[2, 2, 2, 2, 2, 2]",0.1969389347359538,2.727712455907749e-07,0.18880952894687653
2,200,0.001,[6],0.4361177533864975,0.0033003620337694883,0.1113939881324768
2,200,0.001,[12],0.829984650015831,0.0006835687672719359,0.08421929180622101
2,400,0.001,[2],0.24538125470280647,0.008197156712412834,0.15664619207382202
2,400,0.001,"[2, 2, 2]",0.21943918149918318,0.010270058177411556,0.16077136993408203
2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.29024916887283325,7.448600172210718e-07,0.19730332493782043
2,400,0.001,[6],0.23794685676693916,0.003481193445622921,0.096853107213974
2,400,0.001,[12],0.8429092168807983,0.00030198562308214605,0.04207882657647133
3,200,0.001,[2],0.2183538693934679,0.006780360359698534,0.1469680666923523
3,200,0.001,"[2, 2, 2]",0.24830904603004456,0.009193428792059422,0.17342980206012726
3,200,0.001,"[2, 2, 2, 2, 2, 2]",0.47522547096014023,0.00472674984484911,0.18690820038318634
3,200,0.001,[6],0.7460171729326248,0.0029164531733840704,0.06355301290750504
3,200,0.001,[12],0.8992335498332977,0.0015454699750989676,0.08242408186197281
3,400,0.001,[2],0.14875558577477932,0.006393599323928356,0.1056661531329155
3,400,0.001,"[2, 2, 2]",0.3297925889492035,0.00536548113450408,0.2478511929512024
3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2577781192958355,0.0031559239141643047,0.21066971123218536
3,400,0.001,[6],0.2498660534620285,0.004482634365558624,0.07951859384775162
3,400,0.001,[12],0.15183361433446407,0.0009148545213975012,0.06738532334566116
4,200,0.001,[2],0.6973603069782257,0.00760289654135704,0.1552935540676117
4,200,0.001,"[2, 2, 2]",0.13206036016345024,0.008426068350672722,0.15975642204284668
4,200,0.001,"[2, 2, 2, 2, 2, 2]",0.3427622988820076,0.046317245811223984,0.2511628568172455
4,200,0.001,[6],0.937943622469902,0.004221739713102579,0.07092214375734329
4,200,0.001,[12],0.18409479781985283,0.0008468160522170365,0.049536217004060745
4,400,0.001,[2],0.33087199553847313,0.00423941807821393,0.1055043414235115
4,400,0.001,"[2, 2, 2]",0.34734731540083885,0.02018595300614834,0.17777805030345917
4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.29697587341070175,0.018106728792190552,0.19805093109607697
4,400,0.001,[6],0.4659000262618065,0.0019805352203547955,0.054859310388565063
4,400,0.001,[12],0.25274625048041344,0.002864668145775795,0.04667237773537636
5,200,0.001,[2],0.4362640157341957,0.006331459153443575,0.15067750215530396
5,200,0.001,"[2, 2, 2]",0.2275109626352787,0.01008488517254591,0.17427146434783936
5,200,0.001,"[2, 2, 2, 2, 2, 2]",0.18694950640201569,0.0019585329573601484,0.18825891613960266
5,200,0.001,[6],0.20040580071508884,0.002368126530200243,0.06955687701702118
5,200,0.001,[12],0.7044452875852585,0.0017305195797234774,0.04311181232333183
5,400,0.001,[2],0.44706980139017105,0.007686034310609102,0.11895489692687988
5,400,0.001,"[2, 2, 2]",0.6811981648206711,0.024184145033359528,0.16694049537181854
