ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
2,200,0.001,[2],0.14184149727225304,0.005303672514855862,0.1467343121767044
2,200,0.001,"[2, 2, 2]",0.18430731818079948,0.00770603260025382,0.19222593307495117
2,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2212766595184803,3.420672555876081e-06,0.2212800681591034
2,200,0.001,[6],0.058680811896920204,0.0014233693946152925,0.06000305339694023
2,200,0.001,[12],0.04619079560507089,0.0014833571622148156,0.04746728017926216
2,400,0.001,[2],0.10360943037085235,0.00496949115768075,0.1079009473323822
2,400,0.001,"[2, 2, 2]",0.12662066705524921,0.009935080073773861,0.13668152689933777
2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19043845310807228,1.1979838632214523e-07,0.19043856859207153
2,400,0.001,[6],0.0800044797360897,0.006799486465752125,0.08830652385950089
2,400,0.001,[12],0.04003325547091663,0.0006499105948023498,0.04070960357785225
3,200,0.001,[2],0.16760288830846548,0.005997105501592159,0.17383301258087158
3,200,0.001,"[2, 2, 2]",0.14990043360739946,0.005990434903651476,0.1556420475244522
3,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22395414486527443,0.0023724918719381094,0.22640526294708252
3,200,0.001,[6],0.06467656046152115,0.0012726833811029792,0.06607286632061005
3,200,0.001,[12],0.05472820997238159,0.0007052872097119689,0.05549681559205055
3,400,0.001,[2],0.10753162996843457,0.008101742714643478,0.11465790122747421
3,400,0.001,"[2, 2, 2]",0.14478136599063873,0.03194618225097656,0.17692184448242188
3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.17209879495203495,0.00855670589953661,0.179351344704628
3,400,0.001,[6],0.0643342137336731,0.0025599899236112833,0.06651434302330017
3,400,0.001,[12],0.03446704684756696,0.0004967835848219693,0.03492354229092598
4,200,0.001,[2],0.15970745496451855,0.006482083350419998,0.16629332304000854
4,200,0.001,"[2, 2, 2]",0.13507276214659214,0.00960582960397005,0.14395466446876526
4,200,0.001,"[2, 2, 2, 2, 2, 2]",0.24100663512945175,0.014742901548743248,0.2567501664161682
