ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
2,200,0.001,[2],0.08626774605363607,0.0022336901165544987,0.09636931121349335
2,200,0.001,"[2, 2, 2]",0.2454463392496109,0.003859655000269413,0.21833297610282898
2,200,0.001,"[2, 2, 2, 2, 2, 2]",0.23767826706171036,0.010634716600179672,0.2278202772140503
2,200,0.001,[6],0.06654582545161247,0.006994807161390781,0.0815005674958229
2,200,0.001,[12],0.04923862870782614,0.0007119111833162606,0.047792818397283554
2,400,0.001,[2],0.12685032468289137,2.5488887331448495e-05,0.1269039809703827
2,400,0.001,"[2, 2, 2]",0.2021122556179762,0.008640801534056664,0.17390255630016327
2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22602757066488266,0.004750492051243782,0.2057376354932785
2,400,0.001,[6],0.07039745710790157,0.0013373682741075754,0.07201184332370758
2,400,0.001,[12],0.04742821352556348,0.0062232292257249355,0.059423767030239105
3,200,0.001,[2],0.1074899691157043,0.007593177258968353,0.11938566714525223
3,200,0.001,"[2, 2, 2]",0.19414357841014862,0.0023704206105321646,0.1835385113954544
3,200,0.001,"[2, 2, 2, 2, 2, 2]",0.23283329978585243,0.006834757048636675,0.21262085437774658
3,200,0.001,[6],0.062138128094375134,0.002695824485272169,0.06575170159339905
3,200,0.001,[12],0.05098595004528761,0.0006204914534464478,0.05050430819392204
3,400,0.001,[2],0.08573871944099665,0.0043024588376283646,0.10010727494955063
3,400,0.001,"[2, 2, 2]",0.155586751177907,0.007301974575966597,0.1646498739719391
3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2029691655188799,1.2134507869632216e-06,0.20305542647838593
3,400,0.001,[6],0.06016781507059932,0.0010879554320126772,0.059640247374773026
3,400,0.001,[12],0.03941795276477933,0.0006249421858228743,0.038531649857759476
4,200,0.001,[2],0.08713888679631054,0.0035827725660055876,0.09885372221469879
4,200,0.001,"[2, 2, 2]",0.1922357827425003,0.005704968702048063,0.19290578365325928
4,200,0.001,"[2, 2, 2, 2, 2, 2]",0.19141843169927597,0.00282794120721519,0.18566839396953583
4,200,0.001,[6],0.05839354731142521,0.005693081766366959,0.07105835527181625
4,200,0.001,[12],0.04126278730109334,0.0006460893782787025,0.04157295450568199
4,400,0.001,[2],0.11206390848383307,0.008858646266162395,0.1179531067609787
4,400,0.001,"[2, 2, 2]",0.2030016966164112,0.008047835901379585,0.17874205112457275
4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22943609580397606,0.004084951709955931,0.20937636494636536
4,400,0.001,[6],0.052550965221598744,0.003179251216351986,0.05837355554103851
4,400,0.001,[12],0.046277644112706184,0.0008902411791495979,0.046511001884937286
