ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
2,200,0.001,[2],0.41585998982191086,0.004223957192152739,0.115825355052948
2,200,0.001,"[2, 2, 2]",0.2090358603745699,0.002976861549541354,0.1843276172876358
2,200,0.001,"[2, 2, 2, 2, 2, 2]",0.4371277689933777,1.5988439372449648e-07,0.18973496556282043
2,200,0.001,[6],0.41370755434036255,0.0015978440642356873,0.06587851792573929
2,200,0.001,[12],0.39425861835479736,0.0008140326244756579,0.050328586250543594
2,400,0.001,[2],0.3728214055299759,0.005237510893493891,0.13894037902355194
2,400,0.001,"[2, 2, 2]",0.26099860295653343,0.0035730565432459116,0.18049106001853943
2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20005974732339382,1.0398106269349228e-06,0.201089009642601
2,400,0.001,[6],0.3285979311913252,0.0040058852173388,0.057085104286670685
2,400,0.001,[12],0.24155288189649582,0.0007833290728740394,0.048275236040353775
3,200,0.001,[2],0.23105422407388687,0.005168420262634754,0.11837892979383469
3,200,0.001,"[2, 2, 2]",0.18066703341901302,0.009698587469756603,0.14076589047908783
3,200,0.001,"[2, 2, 2, 2, 2, 2]",0.46224574744701385,0.004242633935064077,0.23611187934875488
3,200,0.001,[6],0.1807546354830265,0.0018493735697120428,0.06828931719064713
3,200,0.001,[12],0.5801969021558762,0.0016865769866853952,0.04524746909737587
3,400,0.001,[2],0.42362361401319504,0.0005264575011096895,0.1479337066411972
3,400,0.001,"[2, 2, 2]",0.4209654629230499,0.009886365383863449,0.1621669977903366
3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3881663680076599,1.296413756790571e-06,0.2093716859817505
3,400,0.001,[6],0.26985929533839226,0.0017769539263099432,0.057036131620407104
3,400,0.001,[12],0.056859609205275774,0.0008143751765601337,0.037998851388692856
4,200,0.001,[2],0.2526577226817608,0.007815811783075333,0.12823055684566498
4,200,0.001,"[2, 2, 2]",0.2941223978996277,0.009166624397039413,0.15840107202529907
