epoch_num,learning_rate,hidden_size,loss_test,loss_train
10,0.0001,[2],0.4928937554359436,0.41578854276583743
10,0.0001,"[2, 2]",0.9795252680778503,0.7861402676655695
10,0.0001,"[2, 2, 2]",0.5006859451532364,0.3769244459959177
10,0.0001,"[2, 2, 2, 2]",0.3663593977689743,0.285809542124088
10,0.0001,"[2, 2, 2, 2, 2]",0.2932994104921818,0.20935152299129045
10,0.0001,"[2, 2, 2, 2, 2, 2]",0.5617839992046356,0.4392800743763263
10,0.0001,[4],0.6825938522815704,0.5923267006874084
10,0.0001,[6],0.28286584466695786,0.17239396216777655
10,0.0001,[8],0.30262744426727295,0.20025038719177246
10,0.0001,[10],0.22164492681622505,0.1382220868880932
10,0.0001,[12],0.45238903909921646,0.3864373450095837
20,0.0001,[2],0.33480287343263626,0.25631350164230055
20,0.0001,"[2, 2]",0.6269652098417282,0.5210150021773118
20,0.0001,"[2, 2, 2]",0.2502702437341213,0.1533626954142864
20,0.0001,"[2, 2, 2, 2]",0.30256590619683266,0.20717384666204453
20,0.0001,"[2, 2, 2, 2, 2]",0.20560910925269127,0.15178736471212828
20,0.0001,"[2, 2, 2, 2, 2, 2]",0.394801989197731,0.3205089569091797
20,0.0001,[4],0.37588993459939957,0.2980221865268854
20,0.0001,[6],0.25324858725070953,0.15271282196044922
20,0.0001,[8],0.23720763996243477,0.1381883340386244
20,0.0001,[10],0.2069762758910656,0.12357593155824222
20,0.0001,[12],0.22859245538711548,0.16300109028816223
30,0.0001,[2],0.31322579085826874,0.18388648331165314
30,0.0001,"[2, 2]",0.6963183879852295,0.5625185599693885
30,0.0001,"[2, 2, 2]",0.27658799290657043,0.16747079101892617
30,0.0001,"[2, 2, 2, 2]",0.9886930286884308,0.8168592911500198
30,0.0001,"[2, 2, 2, 2, 2]",0.20944844000041485,0.176079382116978
30,0.0001,"[2, 2, 2, 2, 2, 2]",0.20119085907936096,0.15297386107536462
30,0.0001,[4],0.27226947620511055,0.17922047869517252
30,0.0001,[6],0.5308732688426971,0.40764790085645825
30,0.0001,[8],0.1827380247414112,0.12475968840030524
30,0.0001,[10],0.19902947172522545,0.13980571524454996
30,0.0001,[12],0.2078668735921383,0.11296543736870472
40,0.0001,[2],1.004348024725914,0.8517800431985122
40,0.0001,"[2, 2]",0.7642291486263275,0.6406285808636591
40,0.0001,"[2, 2, 2]",0.25822955928742886,0.16568263218953058
40,0.0001,"[2, 2, 2, 2]",0.2377324141561985,0.21054842953498548
40,0.0001,"[2, 2, 2, 2, 2]",0.66026671230793,0.5806143811115851
40,0.0001,"[2, 2, 2, 2, 2, 2]",0.1909409984946251,0.15822249020521456
40,0.0001,[4],0.30721336603164673,0.22052884904237893
40,0.0001,[6],0.20008069835603237,0.1651743369606825
40,0.0001,[8],0.20023660734295845,0.13343848631932184
40,0.0001,[10],0.16590096428990364,0.11788182275799605
40,0.0001,[12],0.30104687064886093,0.22869084087701944
50,0.0001,[2],0.19017343781888485,0.1329277163514724
50,0.0001,"[2, 2]",0.41385047882795334,0.4139626037615996
50,0.0001,"[2, 2, 2]",0.22648699954152107,0.16204049037053034
50,0.0001,"[2, 2, 2, 2]",0.20061973482370377,0.15381808980153158
50,0.0001,"[2, 2, 2, 2, 2]",0.9591121226549149,0.7684427774869479
50,0.0001,"[2, 2, 2, 2, 2, 2]",0.40313779562711716,0.270728669487513
50,0.0001,[4],0.43736129999160767,0.31006251734036666
50,0.0001,[6],0.24349283054471016,0.10190306718532856
50,0.0001,[8],0.2705700509250164,0.1467404646369127
50,0.0001,[10],0.1829288098961115,0.1274727709018267
50,0.0001,[12],0.13866623491048813,0.0946772857927359
60,0.0001,[2],0.20962568558752537,0.1767817884683609
60,0.0001,"[2, 2]",0.39696861803531647,0.2575503083375784
60,0.0001,"[2, 2, 2]",0.38153860345482826,0.3222156579677875
60,0.0001,"[2, 2, 2, 2]",0.21019258722662926,0.16067576523010546
60,0.0001,"[2, 2, 2, 2, 2]",0.19739115424454212,0.15302354727800077
60,0.0001,"[2, 2, 2, 2, 2, 2]",0.6292867213487625,0.5177322236391214
60,0.0001,[4],0.27798496931791306,0.14934218732210305
60,0.0001,[6],0.25486643612384796,0.15382578510504502
60,0.0001,[8],0.15027154237031937,0.11506937960019478
60,0.0001,[10],0.18797575123608112,0.11332525370212701
60,0.0001,[12],0.1672060266137123,0.09875007833425815
70,0.0001,[2],0.3914315029978752,0.2850267073282829
70,0.0001,"[2, 2]",0.1804809793829918,0.14573942010219282
70,0.0001,"[2, 2, 2]",0.2580862045288086,0.16662728041410446
70,0.0001,"[2, 2, 2, 2]",0.23053135722875595,0.1668288495678168
70,0.0001,"[2, 2, 2, 2, 2]",0.25958261638879776,0.16768549726559565
70,0.0001,"[2, 2, 2, 2, 2, 2]",0.5375200808048248,0.459268902356808
70,0.0001,[4],0.16807524114847183,0.13101925414342147
70,0.0001,[6],0.22033919021487236,0.12377531769183966
70,0.0001,[8],0.21178050339221954,0.11491033377555701
70,0.0001,[10],0.2303204145282507,0.10764662778148285
70,0.0001,[12],0.1589317824691534,0.10941161272617486
80,0.0001,[2],0.23000500723719597,0.14834983761493975
80,0.0001,"[2, 2]",0.231362234801054,0.13351124811630982
80,0.0001,"[2, 2, 2]",0.1836103005334735,0.14590005175425455
80,0.0001,"[2, 2, 2, 2]",0.23335354775190353,0.20295068220450327
80,0.0001,"[2, 2, 2, 2, 2]",0.3727368414402008,0.24120989097998694
80,0.0001,"[2, 2, 2, 2, 2, 2]",0.3649875670671463,0.2886235610796855
80,0.0001,[4],0.14847407117486,0.10952369238321598
80,0.0001,[6],0.18085291609168053,0.09393496037675785
80,0.0001,[8],0.1299983887001872,0.08791551896585868
80,0.0001,[10],0.15057439357042313,0.10203847461021863
80,0.0001,[12],0.17379794269800186,0.11213880634078613
90,0.0001,[2],0.17722126096487045,0.11412204773380207
90,0.0001,"[2, 2]",0.26280494779348373,0.15117726303063905
90,0.0001,"[2, 2, 2]",0.1945233941078186,0.17381325765297964
90,0.0001,"[2, 2, 2, 2]",0.18752411287277937,0.15014805186253327
90,0.0001,"[2, 2, 2, 2, 2]",0.257620383054018,0.22790989165122694
90,0.0001,"[2, 2, 2, 2, 2, 2]",0.4321092218160629,0.36603323771403384
90,0.0001,[4],0.1841242052614689,0.10749594408732194
90,0.0001,[6],0.13888641446828842,0.11357748164580418
90,0.0001,[8],0.1824676040560007,0.10415811664783038
90,0.0001,[10],0.15804587863385677,0.10836817911611153
90,0.0001,[12],0.19381150975823402,0.1040803142465078
100,0.0001,[2],0.21206943318247795,0.14366715458723214
100,0.0001,"[2, 2]",0.3769833520054817,0.33033481469521153
100,0.0001,"[2, 2, 2]",0.3016347251832485,0.1507974203962546
100,0.0001,"[2, 2, 2, 2]",0.5949225276708603,0.47220847469109756
100,0.0001,"[2, 2, 2, 2, 2]",0.35275665670633316,0.2201448128773616
100,0.0001,"[2, 2, 2, 2, 2, 2]",0.31070104241371155,0.1862891694674125
100,0.0001,[4],0.19968516007065773,0.14100996404886246
100,0.0001,[6],0.1534813977777958,0.10024688292581302
100,0.0001,[8],0.15347090875729918,0.11826005692665394
100,0.0001,[10],0.1823189090937376,0.10356280408226527
100,0.0001,[12],0.19115595147013664,0.08859214645165664
110,0.0001,[2],0.22204221040010452,0.10773350556309406
110,0.0001,"[2, 2]",0.9311468303203583,0.7551058393258315
110,0.0001,"[2, 2, 2]",0.613653376698494,0.5219439680759723
110,0.0001,"[2, 2, 2, 2]",0.31470970064401627,0.20784713327884674
110,0.0001,"[2, 2, 2, 2, 2]",0.661201074719429,0.5567849645247827
110,0.0001,"[2, 2, 2, 2, 2, 2]",0.2689681574702263,0.16438482988339204
110,0.0001,[4],0.16494706273078918,0.12272063786020646
110,0.0001,[6],0.16689343005418777,0.11480152377715477
110,0.0001,[8],0.11538899131119251,0.07894820719957352
110,0.0001,[10],0.18060103990137577,0.10040289622086745
110,0.0001,[12],0.09923798311501741,0.07548945540418991
120,0.0001,[2],0.22066888958215714,0.13259937155705231
120,0.0001,"[2, 2]",0.20457695052027702,0.14672665469921553
120,0.0001,"[2, 2, 2]",0.17944684252142906,0.1373083837903463
120,0.0001,"[2, 2, 2, 2]",0.26469285413622856,0.25374882496320283
120,0.0001,"[2, 2, 2, 2, 2]",0.251639686524868,0.15273937984154776
120,0.0001,"[2, 2, 2, 2, 2, 2]",0.8846419453620911,0.7757359147071838
120,0.0001,[4],0.16076661832630634,0.10385750320095283
120,0.0001,[6],0.1574529316276312,0.09681509635769404
120,0.0001,[8],0.13546435069292784,0.09637841524986121
120,0.0001,[10],0.14755471982061863,0.10247205398403682
120,0.0001,[12],0.1285529611632228,0.0895721110013815
130,0.0001,[2],0.24991197139024734,0.15314064404139152
130,0.0001,"[2, 2]",0.2595837116241455,0.15580707845779565
130,0.0001,"[2, 2, 2]",0.26427216827869415,0.1690319495705458
130,0.0001,"[2, 2, 2, 2]",0.2675058953464031,0.15490161570218894
130,0.0001,"[2, 2, 2, 2, 2]",0.25757190585136414,0.15381545688097292
130,0.0001,"[2, 2, 2, 2, 2, 2]",0.20326858200132847,0.1570435344026639
130,0.0001,[4],0.14220380783081055,0.09983444930269168
130,0.0001,[6],0.12133165448904037,0.08563515543937683
130,0.0001,[8],0.14568139426410198,0.09100761579779479
130,0.0001,[10],0.12014452740550041,0.08092598359172161
130,0.0001,[12],0.10616698488593102,0.07173389253708032
140,0.0001,[2],0.2215280532836914,0.13202712340996817
140,0.0001,"[2, 2]",0.36944931000471115,0.29002944093484145
140,0.0001,"[2, 2, 2]",0.5186210051178932,0.3839127031656412
140,0.0001,"[2, 2, 2, 2]",0.3326292112469673,0.2635499399441939
140,0.0001,"[2, 2, 2, 2, 2]",0.7568885982036591,0.6414086176798894
140,0.0001,"[2, 2, 2, 2, 2, 2]",0.27962157875299454,0.15253781126095697
140,0.0001,[4],0.20566676929593086,0.10670919057268363
140,0.0001,[6],0.1401718184351921,0.08339575678110123
140,0.0001,[8],0.12897223141044378,0.08616469886440498
140,0.0001,[10],0.12174274842254817,0.08748660609126091
140,0.0001,[12],0.1418805792927742,0.08397339456356488
150,0.0001,[2],0.14974877052009106,0.10402664055044834
150,0.0001,"[2, 2]",0.23367327824234962,0.10976311335196862
150,0.0001,"[2, 2, 2]",0.15975154750049114,0.10993897112516257
150,0.0001,"[2, 2, 2, 2]",0.2012539654970169,0.15308469877793238
150,0.0001,"[2, 2, 2, 2, 2]",0.2353317178785801,0.1526316645053717
150,0.0001,"[2, 2, 2, 2, 2, 2]",0.2548370882868767,0.15170814498112753
150,0.0001,[4],0.12561196275055408,0.08440445822018844
150,0.0001,[6],0.13483263179659843,0.09064440142649871
150,0.0001,[8],0.1645628996193409,0.098311325105337
150,0.0001,[10],0.1515868566930294,0.0754609529215556
150,0.0001,[12],0.10470244940370321,0.07883947142041646
160,0.0001,[2],0.22559146583080292,0.1227989924641756
160,0.0001,"[2, 2]",0.1815052144229412,0.12422491438113727
160,0.0001,"[2, 2, 2]",1.0051796287298203,0.9261391896467942
160,0.0001,"[2, 2, 2, 2]",0.20811660215258598,0.193625807762146
160,0.0001,"[2, 2, 2, 2, 2]",0.1922433339059353,0.16169020533561707
160,0.0001,"[2, 2, 2, 2, 2, 2]",0.6010071337223053,0.5411479473114014
160,0.0001,[4],0.1798078715801239,0.09147651894734456
160,0.0001,[6],0.12918183952569962,0.08309925032349733
160,0.0001,[8],0.13491302728652954,0.09261578077880236
160,0.0001,[10],0.14350836351513863,0.0753128368120927
160,0.0001,[12],0.12890015915036201,0.0793912556882088
170,0.0001,[2],0.17101632244884968,0.11923528004151124
170,0.0001,"[2, 2]",0.29533035308122635,0.17148889715854937
170,0.0001,"[2, 2, 2]",0.4619758725166321,0.36789584847596973
170,0.0001,"[2, 2, 2, 2]",0.382414273917675,0.28209957824303555
170,0.0001,"[2, 2, 2, 2, 2]",0.3080928921699524,0.23865885230211112
