correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.0,2,400,0.001,[2],0.11009893286973238,0.00469979690387845
0.0,2,400,0.001,"[2, 2, 2]",0.15389513038098812,0.00815586093813181
0.0,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20320254564285278,0.006152709946036339
0.0,2,400,0.001,[6],0.06385727738961577,0.001101587899029255
0.0,2,400,0.001,[12],0.06498370971530676,0.001150492811575532
0.0,4,400,0.001,[2],0.18189271911978722,0.006014453247189522
0.0,4,400,0.001,"[2, 2, 2]",0.19156472757458687,0.005910183768719435
0.0,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20103111304342747,0.0014160993741825223
0.0,4,400,0.001,[6],0.07845647446811199,0.0024608371313661337
0.0,4,400,0.001,[12],0.06560921482741833,0.0016936090542003512
0.0,6,400,0.001,[2],0.13606134988367558,0.0030607199296355247
0.0,6,400,0.001,"[2, 2, 2]",0.17061076499521732,0.00975502748042345
0.0,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22197909466922283,0.008925747126340866
0.0,6,400,0.001,[6],0.07665977347642183,0.004575536120682955
0.0,6,400,0.001,[12],0.04281363729387522,0.002438491676002741
0.0,8,400,0.001,[2],0.13665373623371124,0.007437602151185274
0.0,8,400,0.001,"[2, 2, 2]",0.14950651116669178,0.00966647919267416
0.0,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18606280395761132,0.0005182516761124134
0.0,8,400,0.001,[6],0.0794476242735982,0.0028862771578133106
0.0,8,400,0.001,[12],0.04622882232069969,0.001896702335216105
0.0,10,400,0.001,[2],0.11027438659220934,0.007232776843011379
0.0,10,400,0.001,"[2, 2, 2]",0.2004157118499279,0.008135541342198849
0.0,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19524594582617283,0.011846344918012619
0.0,10,400,0.001,[6],0.08982671983540058,0.00494642648845911
0.0,10,400,0.001,[12],0.04835413955152035,0.0020929034799337387
0.0,12,400,0.001,[2],0.15388215333223343,0.0063703423365950584
0.0,12,400,0.001,"[2, 2, 2]",0.19660794734954834,0.007778984494507313
0.0,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1914574783295393,0.0034714879002422094
0.0,12,400,0.001,[6],0.0695038940757513,0.003190052229911089
0.0,12,400,0.001,[12],0.04519608337432146,0.0019442784832790494
0.0,14,400,0.001,[2],0.1807149276137352,0.008571864105761051
0.0,14,400,0.001,"[2, 2, 2]",0.1549752615392208,0.011220286600291729
0.0,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23822549730539322,0.003626124933362007
0.0,14,400,0.001,[6],0.05859064601827413,0.0033322987146675587
0.0,14,400,0.001,[12],0.053571262396872044,0.002090116962790489
0.0,16,400,0.001,[2],0.11768136080354452,0.008048994466662407
0.0,16,400,0.001,"[2, 2, 2]",0.18695944547653198,0.01105531957000494
0.0,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2572624422609806,0.001612432999536395
0.0,16,400,0.001,[6],0.08562589064240456,0.002973718335852027
0.0,16,400,0.001,[12],0.05664000194519758,0.0023804798256605864
0.1,2,400,0.001,[2],0.11133888270705938,0.008058702573180199
0.1,2,400,0.001,"[2, 2, 2]",0.15285971201956272,0.01155111100524664
0.1,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19536666944622993,5.363874606700847e-06
0.1,2,400,0.001,[6],0.07378873229026794,0.0037098550237715244
0.1,2,400,0.001,[12],0.050861922558397055,0.0009991814149543643
0.1,4,400,0.001,[2],0.12215803749859333,0.007572497241199017
0.1,4,400,0.001,"[2, 2, 2]",0.2500311750918627,0.007491187658160925
0.1,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.24444421380758286,0.00649105804041028
0.1,4,400,0.001,[6],0.05360297951847315,0.0030525904148817062
0.1,4,400,0.001,[12],0.04596379119902849,0.0012992611154913902
0.1,6,400,0.001,[2],0.10007110983133316,0.005193313118070364
0.1,6,400,0.001,"[2, 2, 2]",0.14556262828409672,0.01496233232319355
0.1,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.24648549407720566,0.0031787187326699495
0.1,6,400,0.001,[6],0.05720066139474511,0.0047624302096664906
0.1,6,400,0.001,[12],0.04605223750695586,0.0017294998979195952
0.1,8,400,0.001,[2],0.11044381884858012,0.006140230223536491
0.1,8,400,0.001,"[2, 2, 2]",0.14348427020013332,0.017957670614123344
0.1,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22258562967181206,0.004131691064685583
0.1,8,400,0.001,[6],0.06691403314471245,0.0030605553183704615
0.1,8,400,0.001,[12],0.05062532564625144,0.0016991354059427977
0.1,10,400,0.001,[2],0.1267237663269043,0.008714922703802586
0.1,10,400,0.001,"[2, 2, 2]",0.16947421617805958,0.012208041734993458
0.1,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1823284737765789,0.005920393392443657
0.1,10,400,0.001,[6],0.06384323566453531,0.003927926998585463
0.1,10,400,0.001,[12],0.04906889144331217,0.001437752740457654
0.1,12,400,0.001,[2],0.11688738036900759,0.00784707348793745
0.1,12,400,0.001,"[2, 2, 2]",0.12841501645743847,0.017154911532998085
0.1,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19225791841745377,0.0076260981149971485
0.1,12,400,0.001,[6],0.08417754340916872,0.003911165054887533
0.1,12,400,0.001,[12],0.03692273423075676,0.0016993260942399502
0.1,14,400,0.001,[2],0.1191362701356411,0.008139225654304028
0.1,14,400,0.001,"[2, 2, 2]",0.1459531243890524,0.018500493839383125
0.1,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23815760388970375,0.00891413539648056
0.1,14,400,0.001,[6],0.06175991101190448,0.004815022926777601
0.1,14,400,0.001,[12],0.051246022805571556,0.0014425613917410374
0.1,16,400,0.001,[2],0.1581512615084648,0.00806795060634613
0.1,16,400,0.001,"[2, 2, 2]",0.13733420334756374,0.012310252524912357
0.1,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1712634228169918,0.01361397560685873
0.1,16,400,0.001,[6],0.08288164995610714,0.0048232669942080975
0.1,16,400,0.001,[12],0.043449099175632,0.001941438065841794
0.2,2,400,0.001,[2],0.1849179994314909,0.003504398977383971
0.2,2,400,0.001,"[2, 2, 2]",0.14307697769254446,0.011104410514235497
0.2,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2006868850439787,3.459057097643381e-06
0.2,2,400,0.001,[6],0.05580368428491056,0.005226146429777145
0.2,2,400,0.001,[12],0.03574808069970459,0.002353547140955925
0.2,4,400,0.001,[2],0.14825267530977726,0.022936681285500526
0.2,4,400,0.001,"[2, 2, 2]",0.12669737637043,0.02000361867249012
0.2,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2793939858675003,0.0033713490702211857
0.2,4,400,0.001,[6],0.07566883135586977,0.007045874372124672
0.2,4,400,0.001,[12],0.05312980152666569,0.00474867969751358
0.2,6,400,0.001,[2],0.11947077326476574,0.0075676036067306995
0.2,6,400,0.001,"[2, 2, 2]",0.147159144282341,0.01415012963116169
0.2,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20046362467110157,0.0001985061535378918
0.2,6,400,0.001,[6],0.05001377919688821,0.004518173635005951
0.2,6,400,0.001,[12],0.038452370557934046,0.0018251935252919793
0.2,8,400,0.001,[2],0.09659571317024529,0.009753038175404072
0.2,8,400,0.001,"[2, 2, 2]",0.14393727108836174,0.011086173355579376
0.2,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21725459769368172,0.0032023342791944742
0.2,8,400,0.001,[6],0.05634478200227022,0.0026110089384019375
0.2,8,400,0.001,[12],0.04213583702221513,0.0020264333579689264
0.2,10,400,0.001,[2],0.11317304708063602,0.007774424739181995
0.2,10,400,0.001,"[2, 2, 2]",0.19295414723455906,0.013218128122389317
0.2,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18368692137300968,0.004669045563787222
0.2,10,400,0.001,[6],0.050123968976549804,0.004749005194753408
0.2,10,400,0.001,[12],0.048841990530490875,0.0032779048196971416
0.2,12,400,0.001,[2],0.09557431470602751,0.008716818876564503
0.2,12,400,0.001,"[2, 2, 2]",0.15549732372164726,0.012560084462165833
0.2,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21371235698461533,0.004470068961381912
0.2,12,400,0.001,[6],0.08730758354067802,0.004626700654625893
0.2,12,400,0.001,[12],0.039025298319756985,0.0021432703360915184
0.2,14,400,0.001,[2],0.14765094593167305,0.008535111322999
0.2,14,400,0.001,"[2, 2, 2]",0.176582220941782,0.011762481182813644
0.2,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23233401589095592,0.017884045839309692
